YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,371,LGA,FLL,0,-6,0,,,,,
2015,1,1,4,B6,583,JFK,MCO,-3,-19,0,,,,,
2015,1,1,4,B6,605,EWR,FLL,-4,-21,0,,,,,
2015,1,1,4,B6,525,JFK,TPA,-6,-1,0,,,,,
2015,1,1,4,B6,746,PSE,JFK,-3,-5,0,,,,,
2015,1,1,4,B6,776,MSY,JFK,-10,-18,0,,,,,
2015,1,1,4,B6,794,AUS,JFK,-1,-10,0,,,,,
2015,1,1,4,B6,838,BQN,JFK,1,15,0,14,0,1,0,0
2015,1,1,4,B6,892,TPA,BOS,-6,-12,0,,,,,
2015,1,1,4,B6,1678,JAX,JFK,0,8,0,,,,,
2015,1,1,4,B6,1790,DCA,BOS,-3,1,0,,,,,
2015,1,1,4,DL,421,JFK,ATL,5,-19,0,,,,,
2015,1,1,4,DL,731,LGA,DTW,4,-1,0,,,,,
2015,1,1,4,DL,743,RNO,SLC,0,18,0,18,0,0,0,0
2015,1,1,4,DL,750,BOS,JFK,-4,-8,0,,,,,
2015,1,1,4,DL,809,BOS,MSP,0,2,0,,,,,
2015,1,1,4,DL,904,LGA,ATL,1,-32,0,,,,,
2015,1,1,4,DL,977,ORD,ATL,2,-21,0,,,,,
2015,1,1,4,DL,1088,ANC,MSP,-3,-40,0,,,,,
2015,1,1,4,DL,1098,ATW,ATL,1,-32,0,,,,,
2015,1,1,4,DL,1205,PHX,ATL,124,107,0,0,0,0,0,107
2015,1,1,4,DL,1234,PNS,ATL,-6,-20,0,,,,,
2015,1,1,4,DL,1235,MCO,SLC,-6,-10,0,,,,,
2015,1,1,4,AA,1462,ONT,DFW,,,1,,,,,
2015,1,1,4,AA,913,DCA,MIA,5,-1,0,,,,,
2015,1,1,4,DL,1961,RIC,ATL,-6,-28,0,,,,,
2015,1,1,4,DL,2154,LAX,ATL,-1,-20,0,,,,,
2015,1,1,4,DL,2282,BOS,ATL,-2,-22,0,,,,,
2015,1,1,4,DL,2417,LAS,DTW,-1,-22,0,,,,,
2015,1,1,4,DL,1540,OKC,ATL,-10,-3,0,,,,,
2015,1,1,4,DL,1574,MCO,MSP,-10,-7,0,,,,,
2015,1,1,4,DL,1700,MEM,ATL,17,-6,0,,,,,
2015,1,1,4,DL,1867,TUL,ATL,-5,-24,0,,,,,
2015,1,1,4,DL,1937,BWI,DTW,-9,-19,0,,,,,
2015,1,1,4,B6,159,BOS,PHL,-6,-21,0,,,,,
2015,1,1,4,B6,198,MCO,LGA,-3,2,0,,,,,
2015,1,1,4,B6,1502,FLL,JFK,10,17,0,7,0,10,0,0
2015,1,1,4,B6,1504,SJU,JFK,27,59,0,32,0,27,0,0
2015,1,1,4,B6,1600,BOS,DCA,-8,-23,0,,,,,
2015,1,1,4,EV,2533,TYS,DFW,-1,10,0,,,,,
2015,1,1,4,EV,4213,MHT,ORD,-5,-4,0,,,,,
2015,1,1,4,EV,4431,SAV,EWR,86,85,0,85,0,0,0,0
2015,1,1,4,EV,4411,MEM,EWR,-8,-20,0,,,,,
2015,1,1,4,EV,4756,CLT,ORD,-1,18,0,18,0,0,0,0
2015,1,1,4,EV,4768,TYS,IAD,-7,-2,0,,,,,
2015,1,1,4,EV,4740,GRB,ORD,-4,-10,0,,,,,
2015,1,1,4,EV,5103,ABE,DTW,-8,-20,0,,,,,
2015,1,1,4,EV,5275,JAN,ATL,-1,-10,0,,,,,
2015,1,1,4,EV,5491,OAJ,ATL,-8,-3,0,,,,,
2015,1,1,4,EV,5978,FAR,ORD,3,0,0,,,,,
2015,1,1,4,EV,5917,JAN,ORD,-4,-19,0,,,,,
2015,1,1,4,EV,6133,ERI,ORD,16,19,0,3,0,16,0,0
2015,1,1,4,EV,6082,ATW,ORD,0,0,0,,,,,
2015,1,1,4,EV,6122,LEX,ORD,-4,-11,0,,,,,
2015,1,1,4,EV,6143,CWA,ORD,-10,-3,0,,,,,
2015,1,1,4,F9,865,MSO,DEN,,,1,,,,,
2015,1,1,4,F9,1256,ORD,MIA,,,1,,,,,
2015,1,1,4,F9,1104,CLE,FLL,-4,-22,0,,,,,
2015,1,1,4,F9,1057,IAH,SFO,-8,-6,0,,,,,
2015,1,1,4,F9,144,SEA,DEN,5,0,0,,,,,
2015,1,1,4,F9,1056,SFO,IAH,-8,1,0,,,,,
2015,1,1,4,F9,901,TTN,ATL,-3,-11,0,,,,,
2015,1,1,4,F9,902,ATL,TTN,19,24,0,5,0,19,0,0
2015,1,1,4,HA,202,HNL,ITO,-7,-4,0,,,,,
2015,1,1,4,MQ,2898,MAF,DFW,,,1,,,,,
2015,1,1,4,MQ,2957,AMA,DFW,,,1,,,,,
2015,1,1,4,MQ,2962,CLL,DFW,,,1,,,,,
2015,1,1,4,MQ,3014,HOU,DFW,,,1,,,,,
2015,1,1,4,MQ,3015,DFW,BTR,,,1,,,,,
2015,1,1,4,MQ,3079,JLN,DFW,,,1,,,,,
2015,1,1,4,MQ,3189,CID,DFW,,,1,,,,,
2015,1,1,4,MQ,3302,MLI,DFW,,,1,,,,,
2015,1,1,4,MQ,3338,GSP,DFW,,,1,,,,,
2015,1,1,4,MQ,3350,RDU,JFK,-5,3,0,,,,,
2015,1,1,4,MQ,3355,CVG,MIA,-4,-7,0,,,,,
2015,1,1,4,MQ,3251,MHK,DFW,,,1,,,,,
2015,1,1,4,MQ,3377,MOB,DFW,,,1,,,,,
2015,1,1,4,MQ,3441,TLH,DFW,,,1,,,,,
2015,1,1,4,MQ,3540,PNS,MIA,-5,-12,0,,,,,
2015,1,1,4,MQ,3488,BHM,MIA,0,-5,0,,,,,
2015,1,1,4,MQ,3597,CVG,DFW,,,1,,,,,
2015,1,1,4,MQ,3611,CAE,DFW,,,1,,,,,
2015,1,1,4,MQ,3678,TXK,DFW,,,1,,,,,
2015,1,1,4,NK,188,OAK,LAS,-9,-8,0,,,,,
2015,1,1,4,NK,925,DFW,OAK,0,-29,0,,,,,
2015,1,1,4,NK,943,ACY,RSW,102,86,0,86,0,0,0,0
2015,1,1,4,NK,316,DTW,LGA,-2,58,0,58,0,0,0,0
2015,1,1,4,NK,972,DFW,FLL,3,35,0,35,0,0,0,0
2015,1,1,4,OO,2622,SMF,LAX,-9,-2,0,,,,,
2015,1,1,4,OO,6360,RAP,DEN,0,8,0,,,,,
2015,1,1,4,OO,6369,TUS,SFO,4,6,0,,,,,
2015,1,1,4,OO,5330,EAU,ORD,-8,-29,0,,,,,
2015,1,1,4,OO,5292,DLH,ORD,-4,-4,0,,,,,
2015,1,1,4,OO,6276,FSD,ORD,-3,2,0,,,,,
2015,1,1,4,OO,6235,AUS,SFO,-4,-16,0,,,,,
2015,1,1,4,OO,3489,FAT,SEA,-3,3,0,,,,,
2015,1,1,4,OO,3461,ONT,PDX,-10,-19,0,,,,,
2015,1,1,4,OO,7423,INL,BRD,-10,-3,0,,,,,
2015,1,1,4,OO,5318,CMX,ORD,,,1,,,,,
2015,1,1,4,OO,5445,SMF,SFO,,,1,,,,,
2015,1,1,4,OO,5242,BOI,LAX,39,30,0,0,0,30,0,0
2015,1,1,4,OO,5462,SPI,ORD,4,5,0,,,,,
2015,1,1,4,OO,5466,CLD,LAX,54,88,0,34,0,0,0,54
2015,1,1,4,OO,5550,COD,DEN,-1,-1,0,,,,,
2015,1,1,4,OO,5574,FAT,SFO,0,7,0,,,,,
2015,1,1,4,MQ,3221,CMH,MIA,-5,-11,0,,,,,
2015,1,1,4,MQ,3224,LRD,DFW,,,1,,,,,
2015,1,1,4,OO,5522,PSC,DEN,1,4,0,,,,,
2015,1,1,4,OO,5592,CPR,DEN,4,9,0,,,,,
2015,1,1,4,OO,5604,ACV,SFO,-10,10,0,,,,,
2015,1,1,4,OO,5170,DAL,IAH,22,12,0,,,,,
2015,1,1,4,OO,5429,PAH,ORD,-9,-23,0,,,,,
2015,1,1,4,OO,5435,PSC,SFO,-4,-1,0,,,,,
2015,1,1,4,OO,6378,CID,ORD,10,-1,0,,,,,
2015,1,1,4,OO,6401,EUG,SFO,-3,-7,0,,,,,
2015,1,1,4,OO,6332,DFW,DEN,-4,9,0,,,,,
2015,1,1,4,OO,6346,MRY,SFO,-5,-12,0,,,,,
2015,1,1,4,OO,6465,SLC,LAX,4,-6,0,,,,,
2015,1,1,4,OO,7392,ESC,DTW,-2,-21,0,,,,,
2015,1,1,4,OO,6403,MFR,SFO,-3,-6,0,,,,,
2015,1,1,4,OO,6497,FAT,DEN,-1,33,0,33,0,0,0,0
2015,1,1,4,UA,576,SFO,EWR,-9,-23,0,,,,,
2015,1,1,4,UA,1410,LAS,IAH,0,-7,0,,,,,
2015,1,1,4,UA,1689,EWR,SFO,1,-20,0,,,,,
2015,1,1,4,EV,6020,ISN,DEN,-2,-9,0,,,,,
2015,1,1,4,HA,113,HNL,LIH,-4,-2,0,,,,,
2015,1,1,4,OO,5629,PSP,SFO,31,17,0,0,0,0,0,17
2015,1,1,4,OO,6420,PSP,DEN,131,144,0,13,0,0,0,131
2015,1,1,4,UA,223,SAT,IAH,8,0,0,,,,,
2015,1,1,4,UA,996,LAX,EWR,0,-32,0,,,,,
2015,1,1,4,UA,1721,LAX,SFO,-2,-14,0,,,,,
